City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
102,102,Ramnagar,IN,29.4,79.1167,58.12,77,1,3.56,clear sky,2022-11-28 23:14:41
103,103,Pisco,PE,-13.7,-76.2167,69.85,78,100,12.66,overcast clouds,2022-11-28 23:14:42
104,104,Hermanus,ZA,-34.4187,19.2345,67.8,82,5,9.01,clear sky,2022-11-28 23:14:42
105,105,Port Alfred,ZA,-33.5906,26.891,67.17,84,7,5.99,clear sky,2022-11-28 23:14:42
106,106,Sumbe,AO,-11.2061,13.8437,76.8,82,98,3.04,overcast clouds,2022-11-28 23:14:43
107,107,Surat Thani,TH,9.1667,99.25,80.19,100,49,2.26,scattered clouds,2022-11-28 23:14:43
108,108,Mount Gambier,AU,-37.8333,140.7667,59.79,62,57,7.76,broken clouds,2022-11-28 23:14:43
109,109,Lubbock,US,33.6001,-101.8338,60.15,35,75,16.11,broken clouds,2022-11-28 23:14:40
110,110,Mariakani,KE,-3.8633,39.4736,71.78,96,13,1.01,light rain,2022-11-28 23:14:44
111,111,Nyagan,RU,62.1406,65.3936,5.11,91,100,4.74,overcast clouds,2022-11-28 23:14:44
112,112,Sovetskiy,RU,61.3614,63.5842,1.36,94,100,3.85,overcast clouds,2022-11-28 23:14:45
113,113,Kavieng,PG,-2.5744,150.7967,84.36,62,24,5.59,few clouds,2022-11-28 23:14:45
114,114,Belyy Yar,RU,53.6039,91.3903,-5.91,84,20,0.0,few clouds,2022-11-28 23:14:45
115,115,Mar Del Plata,AR,-38.0023,-57.5575,73.83,94,56,17.0,broken clouds,2022-11-28 23:11:29
116,116,Goundam,ML,16.4145,-3.6708,74.53,14,86,6.64,overcast clouds,2022-11-28 23:14:47
117,117,Lagoa,PT,39.05,-27.9833,66.34,85,93,32.84,overcast clouds,2022-11-28 23:14:47
118,118,Boralday,KZ,43.3578,76.8594,13.86,92,100,0.0,mist,2022-11-28 23:14:47
119,119,Talas,TR,38.6908,35.5538,34.47,100,75,0.0,mist,2022-11-28 23:14:48
120,120,Provideniya,RU,64.3833,-173.3,24.91,63,40,15.66,scattered clouds,2022-11-28 23:14:48
121,121,Lodja,CD,-3.4833,23.4333,69.44,99,97,0.58,light rain,2022-11-28 23:14:49
122,122,Tottori,JP,35.5,134.2333,65.48,78,100,14.92,light rain,2022-11-28 23:13:53
123,123,Bireun,ID,5.203,96.7009,77.76,86,100,3.38,overcast clouds,2022-11-28 23:14:49
124,124,Torbay,CA,47.6666,-52.7314,45.75,97,100,14.97,light intensity drizzle,2022-11-28 23:14:49
125,125,Bitkine,TD,11.9801,18.2138,72.39,20,30,6.17,scattered clouds,2022-11-28 23:14:50
126,126,Richmond,US,37.5538,-77.4603,55.44,62,40,5.75,scattered clouds,2022-11-28 23:10:33
127,127,Nuuk,GL,64.1835,-51.7216,32.61,59,75,18.41,broken clouds,2022-11-28 23:14:51
128,128,Francisco Sa,BR,-16.4758,-43.4883,70.83,91,98,3.96,light rain,2022-11-28 23:14:51
129,129,Winnemucca,US,40.973,-117.7357,39.25,35,75,24.16,haze,2022-11-28 23:14:51
130,130,Nong Khae,TH,14.3406,100.8673,77.95,94,81,2.71,broken clouds,2022-11-28 23:14:52
131,131,Carnarvon,AU,-24.8667,113.6333,73.09,76,0,11.79,clear sky,2022-11-28 23:14:52
132,132,Laguna,US,38.421,-121.4238,63.32,41,0,4.61,clear sky,2022-11-28 23:14:53
133,133,Poitiers,FR,46.5833,0.3333,41.25,63,2,5.75,clear sky,2022-11-28 23:14:53
134,134,Victoria,HK,22.2855,114.1577,77.38,92,14,5.01,few clouds,2022-11-28 23:12:12
135,135,Ostersund,SE,63.1792,14.6357,33.62,100,100,37.0,overcast clouds,2022-11-28 23:15:53
136,136,Mogadishu,SO,2.0371,45.3438,79.75,78,75,13.51,broken clouds,2022-11-28 23:15:54
137,137,Bjerkvik,NO,68.5597,17.5189,31.82,78,79,8.12,broken clouds,2022-11-28 23:15:54
138,138,Longyearbyen,SJ,78.2186,15.6401,39.04,81,75,13.8,broken clouds,2022-11-28 23:15:55
139,139,Buluang,PH,13.3068,123.3425,77.88,89,75,3.22,broken clouds,2022-11-28 23:15:55
140,140,Biak,ID,-0.9131,122.8766,79.45,72,59,2.06,broken clouds,2022-11-28 23:15:55
141,141,San Patricio,US,28.017,-97.5169,69.66,80,4,11.1,clear sky,2022-11-28 23:15:56
142,142,Crestview,US,30.7621,-86.5705,68.25,69,0,6.91,clear sky,2022-11-28 23:15:56
143,143,Formosa,AR,-26.1775,-58.1781,82.38,65,0,4.61,clear sky,2022-11-28 23:15:57
144,144,San Luis,AR,-33.295,-66.3356,88.03,23,66,6.29,broken clouds,2022-11-28 23:15:57
145,145,Dalby,AU,-27.1833,151.2667,81.99,52,100,3.33,overcast clouds,2022-11-28 23:15:58
146,146,Khatanga,RU,71.9667,102.5,-9.06,98,100,9.89,overcast clouds,2022-11-28 23:15:58
147,147,Abu Kamal,SY,34.4506,40.9171,60.37,47,90,5.59,overcast clouds,2022-11-28 23:15:58
148,148,East London,ZA,-33.0153,27.9116,67.5,78,52,20.09,broken clouds,2022-11-28 23:15:59
149,149,Chuy,UY,-33.6971,-53.4616,67.42,91,3,11.45,clear sky,2022-11-28 23:15:59
150,150,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,94,100,17.98,light rain,2022-11-28 23:15:59
151,151,Dikson,RU,73.5069,80.5464,-0.71,98,92,3.62,overcast clouds,2022-11-28 23:16:00
152,152,Maragogi,BR,-9.0122,-35.2225,78.53,79,48,13.65,scattered clouds,2022-11-28 23:16:00
153,153,Klaksvik,FO,62.2266,-6.589,45.52,87,3,9.86,clear sky,2022-11-28 23:16:00
154,154,Khandyga,RU,62.6667,135.6,-45.9,98,97,1.16,overcast clouds,2022-11-28 23:16:01
155,155,Salalah,OM,17.0151,54.0924,71.69,53,0,6.91,clear sky,2022-11-28 23:16:01
156,156,Saskylakh,RU,71.9167,114.0833,-13.56,94,100,4.68,overcast clouds,2022-11-28 23:16:01
157,157,Kirakira,SB,-10.4544,161.9205,84.34,72,100,7.45,light rain,2022-11-28 23:16:02
158,158,Egvekinot,RU,66.3167,-179.1667,10.65,82,63,3.71,broken clouds,2022-11-28 23:16:02
159,159,Goderich,CA,43.7501,-81.7165,35.91,65,56,2.13,broken clouds,2022-11-28 23:12:09
160,160,Manicore,BR,-5.8092,-61.3003,80.13,74,91,0.83,overcast clouds,2022-11-28 23:16:03
161,161,Weiser,US,44.251,-116.9693,36.77,87,100,1.99,overcast clouds,2022-11-28 23:16:03
162,162,Saint-Pierre,RE,-21.3393,55.4781,71.91,64,0,3.44,clear sky,2022-11-28 23:16:04
163,163,Kosa,RU,59.9445,54.9977,8.37,98,100,3.09,overcast clouds,2022-11-28 23:16:04
164,164,Nanortalik,GL,60.1432,-45.2371,35.94,80,100,10.94,overcast clouds,2022-11-28 23:16:05
165,165,Naze,JP,28.3667,129.4833,74.32,85,98,11.01,overcast clouds,2022-11-28 23:16:05
166,166,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.84,97,100,1.95,moderate rain,2022-11-28 23:16:06
167,167,Kudahuvadhoo,MV,2.6708,72.8944,80.01,69,99,5.41,overcast clouds,2022-11-28 23:14:23
168,168,Warrington,GB,53.3925,-2.5802,42.87,92,20,1.14,fog,2022-11-28 23:16:06
169,169,Saint Anthony,US,45.0205,-93.218,40.14,70,0,5.75,clear sky,2022-11-28 23:16:07
170,170,Gualeguaychu,AR,-33.0094,-58.5172,83.89,50,24,9.98,few clouds,2022-11-28 23:16:07
171,171,Catamarca,AR,-28.4696,-65.7852,92.07,27,9,16.22,clear sky,2022-11-28 23:16:07
172,172,Xapuri,BR,-10.6517,-68.5044,85.15,35,88,3.0,overcast clouds,2022-11-28 23:16:08
173,173,Ozernovskiy,RU,51.5,156.5167,31.53,64,100,22.55,light snow,2022-11-28 23:16:08
174,174,Gisborne,NZ,-38.6533,178.0042,65.75,48,93,4.32,overcast clouds,2022-11-28 23:16:08
175,175,Ancud,CL,-41.8697,-73.8203,58.48,79,41,9.28,scattered clouds,2022-11-28 23:16:09
176,176,Novyy Yarychiv,UA,49.9044,24.3052,31.53,90,82,6.87,broken clouds,2022-11-28 23:16:09
177,177,Hambantota,LK,6.1241,81.1185,76.28,86,98,9.13,overcast clouds,2022-11-28 23:16:10
178,178,Airai,TL,-8.9266,125.4092,62.73,89,100,1.59,overcast clouds,2022-11-28 23:16:10
179,179,Kizhinga,RU,51.8462,109.9097,-5.33,81,100,13.58,overcast clouds,2022-11-28 23:16:11
180,180,Port Elizabeth,ZA,-33.918,25.5701,66.49,91,0,18.41,clear sky,2022-11-28 23:16:11
181,181,Talara,PE,-4.5772,-81.2719,72.36,73,0,16.11,clear sky,2022-11-28 23:16:11
182,182,Olafsvik,IS,64.8945,-23.7142,41.63,74,68,15.84,broken clouds,2022-11-28 23:17:12
183,183,Castle Rock,US,39.3722,-104.8561,50.9,24,32,4.0,scattered clouds,2022-11-28 23:17:12
184,184,Qaqortoq,GL,60.7167,-46.0333,31.46,90,100,1.21,light snow,2022-11-28 23:17:13
185,185,Tiksi,RU,71.6872,128.8694,-27.92,99,48,7.18,scattered clouds,2022-11-28 23:17:05
186,186,Baruun-Urt,MN,46.6806,113.2792,-17.05,76,100,13.02,overcast clouds,2022-11-28 23:17:13
187,187,Kruisfontein,ZA,-34.0033,24.7314,59.52,91,24,7.83,few clouds,2022-11-28 23:17:14
188,188,Guerrero Negro,MX,27.9769,-114.0611,66.0,64,5,14.63,clear sky,2022-11-28 23:17:14
189,189,Tambovka,RU,50.0969,128.0489,0.21,96,100,13.8,light snow,2022-11-28 23:17:14
190,190,Leningradskiy,RU,69.3833,178.4167,-3.24,87,62,5.03,broken clouds,2022-11-28 23:17:15
191,191,Codrington,AU,-38.2667,141.9667,58.66,64,71,12.93,broken clouds,2022-11-28 23:17:15
192,192,Biloela,AU,-24.4167,150.5,77.81,74,98,6.13,moderate rain,2022-11-28 23:17:16
193,193,Campbell River,CA,50.0163,-125.2446,36.27,39,0,5.88,clear sky,2022-11-28 23:12:33
194,194,Qaanaaq,GL,77.484,-69.3632,-9.56,93,84,5.86,broken clouds,2022-11-28 23:17:17
195,195,Lasa,IT,46.6166,10.7002,38.35,97,100,1.07,overcast clouds,2022-11-28 23:17:17
196,196,Mahebourg,MU,-20.4081,57.7,73.26,79,93,5.01,light rain,2022-11-28 23:13:28
197,197,Necochea,AR,-38.5473,-58.7368,71.98,71,95,16.67,overcast clouds,2022-11-28 23:17:17
198,198,Turka,UA,49.1541,23.0297,24.8,90,37,3.27,scattered clouds,2022-11-28 23:17:18
199,199,Kapaa,US,22.0752,-159.319,78.78,87,100,11.5,light rain,2022-11-28 23:16:56
200,200,Skibbereen,IE,51.55,-9.2667,47.1,82,96,3.36,overcast clouds,2022-11-28 23:17:19
201,201,Coihaique,CL,-45.5752,-72.0662,62.55,51,75,9.22,broken clouds,2022-11-28 23:17:00
202,202,Muravlenko,RU,63.7898,74.523,-4.54,91,86,8.81,overcast clouds,2022-11-28 23:13:41
203,203,Viedma,AR,-40.8135,-62.9967,77.94,53,42,14.72,scattered clouds,2022-11-28 23:17:19
204,204,Kailua,US,21.4022,-157.7394,75.15,90,100,1.01,light rain,2022-11-28 23:17:20
205,205,College,US,64.8569,-147.8028,-1.88,77,20,9.22,few clouds,2022-11-28 23:17:20
206,206,Christchurch,NZ,-43.5333,172.6333,70.0,46,100,5.75,overcast clouds,2022-11-28 23:13:06
207,207,Scarborough,GB,54.2797,-0.4044,42.37,93,8,3.78,clear sky,2022-11-28 23:14:57
208,208,Houma,US,29.5958,-90.7195,73.0,77,0,5.75,clear sky,2022-11-28 23:17:21
209,209,Lebu,CL,-37.6167,-73.65,58.87,83,8,15.28,clear sky,2022-11-28 23:17:21
210,210,Ahuimanu,US,21.4447,-157.8378,74.86,91,100,5.75,light rain,2022-11-28 23:17:22
211,211,Tual,ID,-5.6667,132.75,85.03,72,100,14.05,light rain,2022-11-28 23:17:22
212,212,Vila Velha,BR,-20.3297,-40.2925,73.35,100,100,6.91,mist,2022-11-28 23:17:23
213,213,Geraldton,AU,-28.7667,114.6,86.41,23,0,17.27,clear sky,2022-11-28 23:17:23
214,214,Kahului,US,20.8947,-156.47,76.84,89,100,9.22,light rain,2022-11-28 23:17:23
215,215,Kaeo,NZ,-35.1,173.7833,69.33,75,95,8.19,overcast clouds,2022-11-28 23:17:24
216,216,Manokwari,ID,-0.8667,134.0833,80.15,81,100,5.95,overcast clouds,2022-11-28 23:17:24
217,217,Acapulco,MX,16.8634,-99.8901,84.02,70,40,5.75,scattered clouds,2022-11-28 23:16:21
218,218,Husavik,IS,66.0449,-17.3389,28.81,64,9,13.8,clear sky,2022-11-28 23:17:25
219,219,Paamiut,GL,61.994,-49.6678,36.0,78,100,36.55,overcast clouds,2022-11-28 23:17:25
220,220,Luderitz,,-26.6481,15.1594,59.74,90,27,2.33,scattered clouds,2022-11-28 23:17:26
221,221,Punta De Bombon,PE,-17.1717,-71.7931,67.75,80,49,5.99,scattered clouds,2022-11-28 23:17:26
222,222,Jalesar,IN,27.4833,78.3167,60.53,36,0,2.82,clear sky,2022-11-28 23:17:27
223,223,Ewa Beach,US,21.3156,-158.0072,75.09,89,100,9.22,light rain,2022-11-28 23:17:27
224,224,Kununurra,AU,-15.7667,128.7333,78.78,89,75,6.91,broken clouds,2022-11-28 23:17:23
225,225,La Brea,HN,15.8,-85.9667,80.11,78,20,3.44,few clouds,2022-11-28 23:18:28
226,226,Selizharovo,RU,56.8519,33.4487,23.29,95,100,6.55,overcast clouds,2022-11-28 23:18:28
227,227,Contai,IN,21.7786,87.7536,66.92,59,1,8.55,clear sky,2022-11-28 23:18:29
228,228,Aksarka,RU,66.5606,67.7975,12.52,96,100,3.87,overcast clouds,2022-11-28 23:18:29
229,229,Birjand,IR,32.8663,59.2211,37.87,38,0,6.91,clear sky,2022-11-28 23:18:29
230,230,Amarillo,US,35.222,-101.8313,59.68,23,0,23.02,clear sky,2022-11-28 23:13:34
231,231,Jertih,MY,5.7336,102.4897,74.86,94,19,2.35,few clouds,2022-11-28 23:14:38
232,232,North Myrtle Beach,US,33.816,-78.68,61.09,81,0,0.0,clear sky,2022-11-28 23:18:24
233,233,Ilulissat,GL,69.2167,-51.1,14.02,52,36,3.44,scattered clouds,2022-11-28 23:18:30
234,234,Puerto Penasco,MX,31.3167,-113.5333,66.9,85,40,5.01,scattered clouds,2022-11-28 23:18:31
235,235,Acajutla,SV,13.5928,-89.8275,79.11,81,91,2.17,light rain,2022-11-28 23:18:31
236,236,Waw,SS,7.7029,27.9953,77.65,41,77,4.76,broken clouds,2022-11-28 23:18:31
237,237,Makat,KZ,47.6469,53.3463,27.75,33,26,11.74,scattered clouds,2022-11-28 23:18:32
238,238,Xai-Xai,MZ,-25.0519,33.6442,72.61,66,100,13.38,overcast clouds,2022-11-28 23:18:32
239,239,Vostok,RU,46.4856,135.8833,23.76,97,100,2.98,snow,2022-11-28 23:18:34
240,240,Oswego,US,43.4501,-76.1497,35.91,66,100,7.4,overcast clouds,2022-11-28 23:18:35
241,241,Along,IN,28.1667,94.7667,50.86,60,0,1.99,clear sky,2022-11-28 23:18:35
